# equipment,home / small gym,# fitness_goal,muscle building,# workout_type,full body,# gender,both,# training_level,beginner,# days_per_week,3
filename,title,url
workouts__2-medicine-ball-full-body-workouts__873e45633a.html,Minimal Equipment Series: 2 Full Body Medicine Ball Workouts,https://www.muscleandstrength.com/workouts/2-medicine-ball-full-body-workouts
workouts__3-day-full-body-dumbbell-workout__13d5fcc8fb.html,Dumbbell Only Workout: 3 Day Full Body Dumbbell Workout,https://www.muscleandstrength.com/workouts/3-day-full-body-dumbbell-workout
workouts__3-day-full-body-kettlebell-workout__8f50c0fafe.html,3 Day Full Body Beginner Kettlebell Workout,https://www.muscleandstrength.com/workouts/3-day-full-body-kettlebell-workout
workouts__3-day-full-body-workout-for-busy-people__a8b25486af.html,3 Day Full Body Workout for Busy People,https://www.muscleandstrength.com/workouts/3-day-full-body-workout-for-busy-people
workouts__3-day-fullbody-workout-alternative-tools.html__b033cbacbc.html,3 Day Fullbody Workout Using Alternative Tools | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-fullbody-workout-alternative-tools.html
workouts__8-week-muscle-building-bodyweight-workout__164e4f2db0.html,8 Week Muscle Building Bodyweight Workout,https://www.muscleandstrength.com/workouts/8-week-muscle-building-bodyweight-workout
workouts__ex-hardgainer-workout-eating-plan.html__25985f387b.html,The Ex-Hardgainer Workout And Eating Plan | Muscle & Strength,https://www.muscleandstrength.com/workouts/ex-hardgainer-workout-eating-plan.html
workouts__muscle-strength-full-body-workout-routine__31cf84565d.html,Muscle & Strength Full Body Workout Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/muscle-strength-full-body-workout-routine
workouts__real-results-pull-squat-press-fullbody-workout.html__436592e171.html,"Real Results Pull, Squat, Press Fullbody Workout | Muscle & Strength",https://www.muscleandstrength.com/workouts/real-results-pull-squat-press-fullbody-workout.html
workouts__reg-park-beginner-workout.html__ff05acb387.html,Reg Park Beginner Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/reg-park-beginner-workout.html
workouts__weekend-warrior__cd0dc242a7.html,The Weekend Warrior Workout,https://www.muscleandstrength.com/workouts/weekend-warrior
