filename,title,url,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
content__best-forearm-workout-strength-and-size__61ff44e287.html,The Best Forearm Workout for Strength and Size | Muscle & Strength,https://www.muscleandstrength.com/content/best-forearm-workout-strength-and-size,home / small gym,muscle building,single muscle group,both,beginner,2
workouts__10-minute-home-upper-body-workouts__a1c8bd2e1b.html,Three 10-Minute At Home Upper Body Workouts | Muscle & Strength,https://www.muscleandstrength.com/workouts/10-minute-home-upper-body-workouts,home / small gym,muscle building,split,both,beginner,3
workouts__10-minute-intense-abs-workout__f4fb483b16.html,10 Minute Intense Abs Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/10-minute-intense-abs-workout,home / small gym,muscle building,single muscle group,both,beginner,3
workouts__12-week-kettlebell-ab-workout__1247988cfe.html,Kettlebell Ab Workout: 12 Week Progression for Increased Core Strength | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-kettlebell-ab-workout,home / small gym,strength,single muscle group,both,beginner,3
workouts__15-min-burner__6238f40298.html,The 15 Min Burner: 4 Day Fat Loss Workout Program,https://www.muscleandstrength.com/workouts/15-min-burner,home / small gym,fat loss,split,both,beginner,4
workouts__15-minute-total-body-beatdown__a3b14bd897.html,The 15 Minute Total Body Beatdown,https://www.muscleandstrength.com/workouts/15-minute-total-body-beatdown,home / small gym,muscle building,full body,both,intermediate,1
workouts__18-week-chin-up-dip-program-upper-body__25fd555c1c.html,18 Week Chin Up & Dip Program For An Impressive Upper Body | Muscle & Strength,https://www.muscleandstrength.com/workouts/18-week-chin-up-dip-program-upper-body,home / small gym,muscle building,single muscle group,both,beginner,4
workouts__2-day-simple-ab-split-by-steve.html__bb88f85080.html,2 Day Simple A/B Split by Steve | Muscle & Strength,https://www.muscleandstrength.com/workouts/2-day-simple-ab-split-by-steve.html,home / small gym,muscle building,full body,both,beginner,2
workouts__2-medicine-ball-full-body-workouts__873e45633a.html,Minimal Equipment Series: 2 Full Body Medicine Ball Workouts,https://www.muscleandstrength.com/workouts/2-medicine-ball-full-body-workouts,home / small gym,muscle building,full body,both,beginner,3
workouts__20-minute-at-home-full-body-workout__1fd139a856.html,20 Minute At Home Full Body Workout Program,https://www.muscleandstrength.com/workouts/20-minute-at-home-full-body-workout,home / small gym,fat loss,full body,both,beginner,3
workouts__2014-minutes-better-body-fast-start-plan__597516fa6c.html,2014 Minutes To A Better Body: 8 Week Fast Start Plan | Muscle & Strength,https://www.muscleandstrength.com/workouts/2014-minutes-better-body-fast-start-plan,home / small gym,muscle building,split,both,beginner,4
