# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,split,# gender,both,# training_level,beginner,# days_per_week,4
filename,title,url
content__8-week-muscle-building-program-adults-40__4677fe1145.html,8-Week Muscle Building Program for Adults 40+ | Muscle & Strength,https://www.muscleandstrength.com/content/8-week-muscle-building-program-adults-40
workouts__12-week-total-transformation-workout__1b2696ee40.html,Body Metamorphosis: 12 Week Transformation Workout to Help You Build Muscle,https://www.muscleandstrength.com/workouts/12-week-total-transformation-workout
workouts__4-day-machine-only-workout__f23f6f65f6.html,Machine Only Workout: 4 Day Workout Split,https://www.muscleandstrength.com/workouts/4-day-machine-only-workout
workouts__8-week-chest-back-workout-routine__7c70141a56.html,8 Week Chest And Back Specialization Workout Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-chest-back-workout-routine
workouts__8-week-mass-building-workout-for-beginners__f4835a234f.html,8 Week Mass Building Workout for Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-mass-building-workout-for-beginners
workouts__9-6-3-workout-system-muscle-size-strength__3c8e8c34d8.html,963 Workout System For Muscle Size And Strength | Muscle & Strength,https://www.muscleandstrength.com/workouts/9-6-3-workout-system-muscle-size-strength
workouts__fast-4-beach-body-workout-college-student__0d76180d76.html,Fast 4: A Beach Body Workout Program For The College Student | Muscle & Strength,https://www.muscleandstrength.com/workouts/fast-4-beach-body-workout-college-student
workouts__freshman-15-of-muscle-workout__549a38c769.html,The Freshman 15 of Muscle Workout Program,https://www.muscleandstrength.com/workouts/freshman-15-of-muscle-workout
workouts__gordon-lavelles-short-intense-bodybuilding-training-system.html__8c691bb274.html,Gordon LaVelle's Short And Intense Bodybuilding Training System | Muscle & Strength,https://www.muscleandstrength.com/workouts/gordon-lavelles-short-intense-bodybuilding-training-system.html
workouts__muscle-mass-inflation__cc917c89e8.html,Muscle Mass Inflation: 8 Week Muscle Growth Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/muscle-mass-inflation
workouts__ovw-workout__5be9d6f5a9.html,The Optimized Volume Workout (O.V.W) Program,https://www.muscleandstrength.com/workouts/ovw-workout
workouts__phase-training-pt-2-size-building__f3bb1b072f.html,Phase Training Pt. 2: 5 Week Workout to Build Muscle Size,https://www.muscleandstrength.com/workouts/phase-training-pt-2-size-building
workouts__september-starter-beginner-workout__48821f9931.html,September Starter Workout: 4 Week Beginner Workout Routine,https://www.muscleandstrength.com/workouts/september-starter-beginner-workout
workouts__start-from-scratch-beginner-workout__2c63e94a89.html,Start from Scratch: 6 Week Complete Beginner Program,https://www.muscleandstrength.com/workouts/start-from-scratch-beginner-workout
workouts__stronger-together-parent-teen-workout__65bbcbd6cd.html,Stronger Together: 8-Week Parent & Teen Workout Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/stronger-together-parent-teen-workout
workouts__the-best-upper-body-workout-routine__2419e625c2.html,The Best Upper Body Workout Routine,https://www.muscleandstrength.com/workouts/the-best-upper-body-workout-routine
workouts__training-older-athlete__c0c02d3a06.html,Training for the Older Athlete: Making Gains After 40,https://www.muscleandstrength.com/workouts/training-older-athlete
workouts__upper-lower-4-day-gym-bodybuilding-workout__8b62950430.html,Upper/Lower 4 Day Bodybuilding Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/upper-lower-4-day-gym-bodybuilding-workout
