filename,title,url,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
workouts__10-week-fat-torcher__f17e5017fc.html,10 Week Fat Torcher: Fat Burning Program,https://www.muscleandstrength.com/workouts/10-week-fat-torcher,fully equipped gym,fat loss,split,both,intermediate,7
workouts__10-week-upper-lower-workout-for-women__c6b7a6a89a.html,10 Week Upper/Lower Workout Program for Women,https://www.muscleandstrength.com/workouts/10-week-upper-lower-workout-for-women,fully equipped gym,muscle building,split,women,intermediate,4
workouts__12-week-ab-workout-for-ab-definition-and-core-strength__964610fa71.html,12 Week Ab Workout for Ab Definition & Core Strength,https://www.muscleandstrength.com/workouts/12-week-ab-workout-for-ab-definition-and-core-strength,fully equipped gym,muscle building,single muscle group,both,intermediate,4
workouts__12-week-off-season-classic-bodybuilding-workout__c305effa26.html,12 Week Off-Season Classic Physique Bodybuilding Workout,https://www.muscleandstrength.com/workouts/12-week-off-season-classic-bodybuilding-workout,fully equipped gym,muscle building,split,men,intermediate,5
workouts__12-week-push-pull-legs-for-women__d4f0af9f23.html,"12 Week Push, Pull, Legs Workout for Women",https://www.muscleandstrength.com/workouts/12-week-push-pull-legs-for-women,fully equipped gym,muscle building,split,women,intermediate,6
workouts__12-week-womens-bikini-prep-workout__c71e03881f.html,12 Week Women's Bikini Prep Workout Program,https://www.muscleandstrength.com/workouts/12-week-womens-bikini-prep-workout,fully equipped gym,fat loss,split,women,intermediate,5
workouts__15-minute-total-body-beatdown__a3b14bd897.html,The 15 Minute Total Body Beatdown,https://www.muscleandstrength.com/workouts/15-minute-total-body-beatdown,home / small gym,muscle building,full body,both,intermediate,1
workouts__18-week-bench-press-peaking-cycle__b7d7c797e1.html,18 Week Bench Press Peaking Cycle | Muscle & Strength,https://www.muscleandstrength.com/workouts/18-week-bench-press-peaking-cycle,fully equipped gym,strength,single muscle group,both,intermediate,1
workouts__2-day-intense-workout.html__beeb7dd88f.html,2 Day Intense Fat Loss & Muscle Tone Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/2-day-intense-workout.html,fully equipped gym,fat loss,full body,both,intermediate,2
workouts__2-weekly-workouts-for-larger-legs__f69e6a19e7.html,2 Weekly Workouts for Larger Legs,https://www.muscleandstrength.com/workouts/2-weekly-workouts-for-larger-legs,fully equipped gym,muscle building,single muscle group,both,intermediate,2
workouts__2-workouts-to-help-grow-your-back__41ecb42ce2.html,2 Workouts To Help Grow Your Back in 8 Weeks,https://www.muscleandstrength.com/workouts/2-workouts-to-help-grow-your-back,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__20-6-day-weight-cardio-cutting-workout.html__05afe37b08.html,Fat Blaster: 6 Day Weight/Cardio Cutting Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/20-6-day-weight-cardio-cutting-workout.html,fully equipped gym,fat loss,split,both,intermediate,6
workouts__20-rep-quad-hamstring-shock-workout__3dfac94b6e.html,20 Rep Quad & Hamstring Shock Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/20-rep-quad-hamstring-shock-workout,fully equipped gym,muscle building,single muscle group,men,intermediate,1
workouts__21-compound-exercises-only-workout.html__12effcd9e0.html,Compound Exercises Only Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/21-compound-exercises-only-workout.html,fully equipped gym,muscle building,split,both,intermediate,4
workouts__23-doug--s-mega-cutting-routine.html__87fd1053da.html,Doug's 4 Day Mega Cutting Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/23-doug--s-mega-cutting-routine.html,fully equipped gym,fat loss,split,both,intermediate,4
workouts__24-doug---s-5-day-high-definition-routine.html__6bd7af2bb2.html,Doug's 5 Day High Definition Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/24-doug---s-5-day-high-definition-routine.html,fully equipped gym,fat loss,split,men,intermediate,5
workouts__25-doug--s-super-shredding-routine.html__21b74a0c10.html,5 Day Super Shredding Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/25-doug--s-super-shredding-routine.html,fully equipped gym,fat loss,split,both,intermediate,5
workouts__3-day-power-muscle-burn__53df2f3611.html,3 Day Power Muscle Burn Workout Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-power-muscle-burn,fully equipped gym,muscle building,split,both,intermediate,3
workouts__3-day-whole-body-toning-workout.html__bd2847b58b.html,3 Day Full Body Toning Workout for Women | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-whole-body-toning-workout.html,fully equipped gym,muscle building,full body,both,intermediate,3
workouts__3-giant-sets-for-giant-arms__29a1d19b7c.html,3 Giant Sets to Build Giant Arms | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-giant-sets-for-giant-arms,fully equipped gym,muscle building,single muscle group,men,intermediate,1
workouts__31-the-big-arm-routine.html__a284125c40.html,Plateau-Busting Big Arm Workout Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/31-the-big-arm-routine.html,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__32-the-coconut-shoulders-workout-.html__f69daeef20.html,The Coconut Shoulders Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/32-the-coconut-shoulders-workout-.html,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__36-8-week-intense-back-workout.html__69852b2d2f.html,8 Week Intense Back Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/36-8-week-intense-back-workout.html,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__3d-muscle-drop-set-split__cddfd23a02.html,3D Muscle: A 3 Day Drop Set Workout Program,https://www.muscleandstrength.com/workouts/3d-muscle-drop-set-split,fully equipped gym,muscle building,split,both,intermediate,3
workouts__3day-hardcore-program.html__7470db567d.html,3 Day Hardcore Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/3day-hardcore-program.html,fully equipped gym,muscle building,split,both,intermediate,3
workouts__4-5-day-workout-for-building-muscle-and-strength__ec8750d8ab.html,4-5 Day Workout for Building Muscle & Strength,https://www.muscleandstrength.com/workouts/4-5-day-workout-for-building-muscle-and-strength,fully equipped gym,strength,split,both,intermediate,4
workouts__4-day-barbell-only-workout__551e290046.html,4 Day Barbell Only Workout (No Rack Required) | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-barbell-only-workout,home / small gym,muscle building,split,both,intermediate,4
workouts__4-day-bodybuilding-split-by-shaun.html__8339fbb352.html,4 Day Bodybuilding Split by Shaun | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-bodybuilding-split-by-shaun.html,fully equipped gym,muscle building,split,both,intermediate,4
workouts__4-day-maximum-mass-workout__1190206d23.html,4 Day Maximum Mass Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-maximum-mass-workout,fully equipped gym,muscle building,split,both,intermediate,4
workouts__4-day-power-muscle-burn-workout-split.html__e146c51e59.html,4 Day Power Muscle Burn Workout Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-power-muscle-burn-workout-split.html,fully equipped gym,muscle building,split,both,intermediate,4
workouts__4-day-ppl-and-v-taper-intensifier-workout__f35f34da4c.html,4 Day Muscle Building Workout: PPL Split w/ V Taper Intensifier,https://www.muscleandstrength.com/workouts/4-day-ppl-and-v-taper-intensifier-workout,fully equipped gym,muscle building,split,both,intermediate,4
workouts__4-day-rp21-rest-pause-workout-system__18ded82e4f.html,4 Day Rest Pause RP-21 Muscle Building Workout System | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-rp21-rest-pause-workout-system,fully equipped gym,muscle building,split,both,intermediate,4
workouts__4-day-shred-cycle-workout__714f6166bc.html,4 Day Shred Cycle Fat Loss Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-shred-cycle-workout,fully equipped gym,fat loss,split,both,intermediate,4
