filename,title,url,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
workouts__10-week-mass-building-program.html__804e618824.html,10 Week Mass Building Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/10-week-mass-building-program.html,fully equipped gym,muscle building,split,men,advanced,4
workouts__12-week-off-season-classic-bodybuilding-workout__c305effa26.html,12 Week Off-Season Classic Physique Bodybuilding Workout,https://www.muscleandstrength.com/workouts/12-week-off-season-classic-bodybuilding-workout,fully equipped gym,muscle building,split,men,intermediate,5
workouts__20-rep-quad-hamstring-shock-workout__3dfac94b6e.html,20 Rep Quad & Hamstring Shock Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/20-rep-quad-hamstring-shock-workout,fully equipped gym,muscle building,single muscle group,men,intermediate,1
workouts__24-doug---s-5-day-high-definition-routine.html__6bd7af2bb2.html,Doug's 5 Day High Definition Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/24-doug---s-5-day-high-definition-routine.html,fully equipped gym,fat loss,split,men,intermediate,5
workouts__3-giant-sets-for-giant-arms__29a1d19b7c.html,3 Giant Sets to Build Giant Arms | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-giant-sets-for-giant-arms,fully equipped gym,muscle building,single muscle group,men,intermediate,1
workouts__3-week-pump-tacular-pecs-workout__58fdd8865e.html,Pump-Tacular Pecs: 3 Week Workout to Pump Up Your Chest,https://www.muscleandstrength.com/workouts/3-week-pump-tacular-pecs-workout,fully equipped gym,muscle building,single muscle group,men,advanced,1
workouts__4-day-advanced-upper-lower-workout-program-to-build-mass__cdec2d2ea5.html,4 Day Advanced Upper/Lower Workout Program to Build Mass,https://www.muscleandstrength.com/workouts/4-day-advanced-upper-lower-workout-program-to-build-mass,fully equipped gym,muscle building,split,men,advanced,4
workouts__4-day-supersets-timed-set-workout__847db2983a.html,4 Day Superset & Timed Set Muscle Building Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-supersets-timed-set-workout,fully equipped gym,muscle building,split,men,intermediate,4
workouts__4-day-workout-to-build-muscle__e40b98ee48.html,3 Day Split + Full Body Fridays: 4 Day Workout Program to Build Muscle,https://www.muscleandstrength.com/workouts/4-day-workout-to-build-muscle,fully equipped gym,muscle building,split,men,advanced,4
workouts__4-week-hamstring-helper-workout__7c3ffff945.html,4 Week Hamstring Helper Workout Program,https://www.muscleandstrength.com/workouts/4-week-hamstring-helper-workout,fully equipped gym,muscle building,single muscle group,men,intermediate,2
workouts__4-week-v-taper-building-workout__5200387b3e.html,4 Week V-Taper Building Workout Routine,https://www.muscleandstrength.com/workouts/4-week-v-taper-building-workout,fully equipped gym,muscle building,single muscle group,men,advanced,1
workouts__4-week-workout-to-build-biceps-that-peak__f0ac34f60c.html,4 Week Biceps Workout to Build Peaking Bi's,https://www.muscleandstrength.com/workouts/4-week-workout-to-build-biceps-that-peak,fully equipped gym,muscle building,single muscle group,men,intermediate,2
workouts__5-day-muscle-and-strength-building-workout-split__bd8069d54d.html,5 Day Muscle & Strength Building Workout Split,https://www.muscleandstrength.com/workouts/5-day-muscle-and-strength-building-workout-split,fully equipped gym,muscle building,split,men,intermediate,5
