filename,title,url,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
workouts__12-week-beginners-training-routine.html__60253f8d82.html,12 Week Full Body Workout Routine for Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-beginners-training-routine.html,fully equipped gym,muscle building,full body,both,beginner,3
workouts__12-week-fat-destroyer__7559ccac0a.html,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-fat-destroyer,fully equipped gym,fat loss,full body,both,beginner,4
workouts__15-minute-total-body-beatdown__a3b14bd897.html,The 15 Minute Total Body Beatdown,https://www.muscleandstrength.com/workouts/15-minute-total-body-beatdown,home / small gym,muscle building,full body,both,intermediate,1
workouts__2-at-home-circuit-workouts-for-women__be6ee9775d.html,Workouts for Women: 2 Bodyweight Circuits You Can Do at Home,https://www.muscleandstrength.com/workouts/2-at-home-circuit-workouts-for-women,body weight,fat loss,full body,both,beginner,3
workouts__2-day-intense-workout.html__beeb7dd88f.html,2 Day Intense Fat Loss & Muscle Tone Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/2-day-intense-workout.html,fully equipped gym,fat loss,full body,both,intermediate,2
workouts__2-day-simple-ab-split-by-steve.html__bb88f85080.html,2 Day Simple A/B Split by Steve | Muscle & Strength,https://www.muscleandstrength.com/workouts/2-day-simple-ab-split-by-steve.html,home / small gym,muscle building,full body,both,beginner,2
workouts__2-medicine-ball-full-body-workouts__873e45633a.html,Minimal Equipment Series: 2 Full Body Medicine Ball Workouts,https://www.muscleandstrength.com/workouts/2-medicine-ball-full-body-workouts,home / small gym,muscle building,full body,both,beginner,3
workouts__20-minute-at-home-full-body-workout__1fd139a856.html,20 Minute At Home Full Body Workout Program,https://www.muscleandstrength.com/workouts/20-minute-at-home-full-body-workout,home / small gym,fat loss,full body,both,beginner,3
workouts__20-minute-hiit-workout__aa14f9ddc2.html,20 Minute HIIT Workout You Can Do Anywhere | Muscle & Strength,https://www.muscleandstrength.com/workouts/20-minute-hiit-workout,body weight,fat loss,full body,both,beginner,2
workouts__3-day-at-home-womens-workout__a9f165e578.html,3 Day (At Home) Women's Workout Routine,https://www.muscleandstrength.com/workouts/3-day-at-home-womens-workout,home / small gym,fat loss,full body,women,beginner,3
workouts__3-day-dumbbell-only-workout-for-women__a3425ea293.html,3 Day Full Body Women's Dumbbell Only Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-dumbbell-only-workout-for-women,home / small gym,muscle building,full body,women,beginner,3
workouts__3-day-full-body-dumbbell-workout__13d5fcc8fb.html,Dumbbell Only Workout: 3 Day Full Body Dumbbell Workout,https://www.muscleandstrength.com/workouts/3-day-full-body-dumbbell-workout,home / small gym,muscle building,full body,both,beginner,3
workouts__3-day-full-body-kettlebell-workout__8f50c0fafe.html,3 Day Full Body Beginner Kettlebell Workout,https://www.muscleandstrength.com/workouts/3-day-full-body-kettlebell-workout,home / small gym,muscle building,full body,both,beginner,3
workouts__3-day-full-body-workout-for-busy-people__a8b25486af.html,3 Day Full Body Workout for Busy People,https://www.muscleandstrength.com/workouts/3-day-full-body-workout-for-busy-people,home / small gym,muscle building,full body,both,beginner,3
workouts__3-day-full-body-workout-for-tall-girls__5e3e211413.html,3 Day Full Body Workout for Tall Women,https://www.muscleandstrength.com/workouts/3-day-full-body-workout-for-tall-girls,fully equipped gym,muscle building,full body,women,beginner,3
workouts__3-day-fullbody-workout-alternative-tools.html__b033cbacbc.html,3 Day Fullbody Workout Using Alternative Tools | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-fullbody-workout-alternative-tools.html,home / small gym,muscle building,full body,both,beginner,3
