filename,title,url,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
content__best-forearm-workout-strength-and-size__61ff44e287.html,The Best Forearm Workout for Strength and Size | Muscle & Strength,https://www.muscleandstrength.com/content/best-forearm-workout-strength-and-size,home / small gym,muscle building,single muscle group,both,beginner,2
workouts__10-minute-intense-abs-workout__f4fb483b16.html,10 Minute Intense Abs Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/10-minute-intense-abs-workout,home / small gym,muscle building,single muscle group,both,beginner,3
workouts__12-week-ab-workout-for-ab-definition-and-core-strength__964610fa71.html,12 Week Ab Workout for Ab Definition & Core Strength,https://www.muscleandstrength.com/workouts/12-week-ab-workout-for-ab-definition-and-core-strength,fully equipped gym,muscle building,single muscle group,both,intermediate,4
workouts__12-week-build-bigger-bench__b816c959f1.html,12 Weeks To A Bigger Bench Press | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-build-bigger-bench,fully equipped gym,strength,single muscle group,both,beginner,3
workouts__12-week-kettlebell-ab-workout__1247988cfe.html,Kettlebell Ab Workout: 12 Week Progression for Increased Core Strength | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-kettlebell-ab-workout,home / small gym,strength,single muscle group,both,beginner,3
workouts__15-minute-core-conditioning-workout__46ec9adc20.html,15-Minute Core Conditioning Workout You Can Do Anywhere | Muscle & Strength,https://www.muscleandstrength.com/workouts/15-minute-core-conditioning-workout,body weight,general fitness,single muscle group,both,beginner,3
workouts__18-week-bench-press-peaking-cycle__b7d7c797e1.html,18 Week Bench Press Peaking Cycle | Muscle & Strength,https://www.muscleandstrength.com/workouts/18-week-bench-press-peaking-cycle,fully equipped gym,strength,single muscle group,both,intermediate,1
workouts__18-week-chin-up-dip-program-upper-body__25fd555c1c.html,18 Week Chin Up & Dip Program For An Impressive Upper Body | Muscle & Strength,https://www.muscleandstrength.com/workouts/18-week-chin-up-dip-program-upper-body,home / small gym,muscle building,single muscle group,both,beginner,4
workouts__2-weekly-workouts-for-larger-legs__f69e6a19e7.html,2 Weekly Workouts for Larger Legs,https://www.muscleandstrength.com/workouts/2-weekly-workouts-for-larger-legs,fully equipped gym,muscle building,single muscle group,both,intermediate,2
workouts__2-workouts-to-help-grow-your-back__41ecb42ce2.html,2 Workouts To Help Grow Your Back in 8 Weeks,https://www.muscleandstrength.com/workouts/2-workouts-to-help-grow-your-back,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__20-rep-quad-hamstring-shock-workout__3dfac94b6e.html,20 Rep Quad & Hamstring Shock Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/20-rep-quad-hamstring-shock-workout,fully equipped gym,muscle building,single muscle group,men,intermediate,1
workouts__27-home-based-ab-workout.html__06f231a1c1.html,Home-Based Ab Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/27-home-based-ab-workout.html,body weight,muscle building,single muscle group,both,beginner,3
workouts__28-plateau-busting-chest-workout.html__b30f5654fd.html,4 Week Plateau Busting Chest Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/28-plateau-busting-chest-workout.html,fully equipped gym,muscle building,single muscle group,both,advanced,1
