# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,single muscle group,# gender,both,# training_level,advanced,# days_per_week,1
filename,title,url
workouts__28-plateau-busting-chest-workout.html__b30f5654fd.html,4 Week Plateau Busting Chest Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/28-plateau-busting-chest-workout.html
workouts__30-leg-growth-workout---3-week-cycle.html__9ffb158d63.html,Leg Growth Workout - 3 Week Cycle | Muscle & Strength,https://www.muscleandstrength.com/workouts/30-leg-growth-workout---3-week-cycle.html
workouts__4-week-absolute-leg-carnage-workout__16e6223219.html,4 Week Absolute Leg Carnage Workout,https://www.muscleandstrength.com/workouts/4-week-absolute-leg-carnage-workout
workouts__4-week-arm-ageddon-blast-arm-workout__422bdd6be0.html,4 Week Arm-Ageddon Blast Arm Workout,https://www.muscleandstrength.com/workouts/4-week-arm-ageddon-blast-arm-workout
workouts__4-week-shoulder-shocker-workout__1d5c1a290e.html,4 Week Shoulder Shocker to Ignite Muscle Growth,https://www.muscleandstrength.com/workouts/4-week-shoulder-shocker-workout
workouts__armergency-workout__d3953146eb.html,ARMergency: A Killer Arm Day Workout Program,https://www.muscleandstrength.com/workouts/armergency-workout
workouts__bigger-better-arms-workout-30-days__95c117c08d.html,Growin' Guns: Bigger and Better Arms in 30 Days,https://www.muscleandstrength.com/workouts/bigger-better-arms-workout-30-days
workouts__deltoid-destruction-workout__5e34090590.html,Deltoid Destruction: High Volume & Instensity Shoulder Workout,https://www.muscleandstrength.com/workouts/deltoid-destruction-workout
workouts__elite-shoulders-3-week-shoulder-workout__e51fff6696.html,Elite Shoulders: 3 Week Shoulder Shocker Workout,https://www.muscleandstrength.com/workouts/elite-shoulders-3-week-shoulder-workout
workouts__increase-your-wingspan-workout__8469c11463.html,The Perfect Back Workout to Increase Your Wingspan,https://www.muscleandstrength.com/workouts/increase-your-wingspan-workout
