filename,title,url,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
workouts__10-week-fat-torcher__f17e5017fc.html,10 Week Fat Torcher: Fat Burning Program,https://www.muscleandstrength.com/workouts/10-week-fat-torcher,fully equipped gym,fat loss,split,both,intermediate,7
workouts__12-week-fat-annihilation-workout__65f5d61841.html,12 Week Total Fat Annihilation Workout Plan,https://www.muscleandstrength.com/workouts/12-week-fat-annihilation-workout,fully equipped gym,fat loss,split,both,advanced,4
workouts__12-week-fat-destroyer__7559ccac0a.html,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-fat-destroyer,fully equipped gym,fat loss,full body,both,beginner,4
workouts__12-week-womens-bikini-prep-workout__c71e03881f.html,12 Week Women's Bikini Prep Workout Program,https://www.muscleandstrength.com/workouts/12-week-womens-bikini-prep-workout,fully equipped gym,fat loss,split,women,intermediate,5
workouts__15-min-burner__6238f40298.html,The 15 Min Burner: 4 Day Fat Loss Workout Program,https://www.muscleandstrength.com/workouts/15-min-burner,home / small gym,fat loss,split,both,beginner,4
workouts__2-at-home-circuit-workouts-for-women__be6ee9775d.html,Workouts for Women: 2 Bodyweight Circuits You Can Do at Home,https://www.muscleandstrength.com/workouts/2-at-home-circuit-workouts-for-women,body weight,fat loss,full body,both,beginner,3
workouts__2-day-intense-workout.html__beeb7dd88f.html,2 Day Intense Fat Loss & Muscle Tone Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/2-day-intense-workout.html,fully equipped gym,fat loss,full body,both,intermediate,2
workouts__20-6-day-weight-cardio-cutting-workout.html__05afe37b08.html,Fat Blaster: 6 Day Weight/Cardio Cutting Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/20-6-day-weight-cardio-cutting-workout.html,fully equipped gym,fat loss,split,both,intermediate,6
workouts__20-minute-at-home-full-body-workout__1fd139a856.html,20 Minute At Home Full Body Workout Program,https://www.muscleandstrength.com/workouts/20-minute-at-home-full-body-workout,home / small gym,fat loss,full body,both,beginner,3
workouts__20-minute-hiit-workout__aa14f9ddc2.html,20 Minute HIIT Workout You Can Do Anywhere | Muscle & Strength,https://www.muscleandstrength.com/workouts/20-minute-hiit-workout,body weight,fat loss,full body,both,beginner,2
workouts__23-doug--s-mega-cutting-routine.html__87fd1053da.html,Doug's 4 Day Mega Cutting Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/23-doug--s-mega-cutting-routine.html,fully equipped gym,fat loss,split,both,intermediate,4
workouts__24-doug---s-5-day-high-definition-routine.html__6bd7af2bb2.html,Doug's 5 Day High Definition Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/24-doug---s-5-day-high-definition-routine.html,fully equipped gym,fat loss,split,men,intermediate,5
workouts__25-doug--s-super-shredding-routine.html__21b74a0c10.html,5 Day Super Shredding Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/25-doug--s-super-shredding-routine.html,fully equipped gym,fat loss,split,both,intermediate,5
workouts__26-doug--s-6-day-cutting-routine.html__08a7d7e956.html,Doug's 6 Day Cutting Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/26-doug--s-6-day-cutting-routine.html,fully equipped gym,fat loss,split,both,advanced,6
workouts__3-day-at-home-womens-workout__a9f165e578.html,3 Day (At Home) Women's Workout Routine,https://www.muscleandstrength.com/workouts/3-day-at-home-womens-workout,home / small gym,fat loss,full body,women,beginner,3
workouts__3-day-kettlebell-bodyweight__28f26715f8.html,3 Day Kettlebell and Bodyweight Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-kettlebell-bodyweight,home / small gym,fat loss,split,both,beginner,3
workouts__3-day-total-body-sculpting-workout__161880a479.html,3 Day Total Body Sculpting Circuit Workout Routine,https://www.muscleandstrength.com/workouts/3-day-total-body-sculpting-workout,home / small gym,fat loss,full body,both,beginner,3
workouts__4-day-shred-cycle-workout__714f6166bc.html,4 Day Shred Cycle Fat Loss Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-shred-cycle-workout,fully equipped gym,fat loss,split,both,intermediate,4
workouts__4-week-v-cuts-abs-workout__c7d0d20db7.html,4 Week “V Cuts Abs” Workout Routine,https://www.muscleandstrength.com/workouts/4-week-v-cuts-abs-workout,fully equipped gym,fat loss,split,both,intermediate,4
workouts__40-minute-abs-cardio-resistance-workout__a524e0b407.html,"40 Minute Blast - Abs, Cardio And Resistance Workout | Muscle & Strength",https://www.muscleandstrength.com/workouts/40-minute-abs-cardio-resistance-workout,home / small gym,fat loss,full body,both,beginner,3
workouts__45-minute-kettlebell-bodyweight-fat-loss-workout__20acd5e348.html,45-Minute Kettlebell and Bodyweight Workout for Fat Loss | Muscle & Strength,https://www.muscleandstrength.com/workouts/45-minute-kettlebell-bodyweight-fat-loss-workout,home / small gym,fat loss,full body,both,beginner,3
workouts__5-crossfit-wods-general-conditioning__990e4a5ec7.html,5 Cross Training Workouts For General Conditioning | Muscle & Strength,https://www.muscleandstrength.com/workouts/5-crossfit-wods-general-conditioning,home / small gym,fat loss,full body,both,beginner,5
workouts__5-fat-loss-workouts-cory-gregory-musclepharm__33b09d1feb.html,5 Fat Loss Workouts From Cory Gregory & MusclePharm | Muscle & Strength,https://www.muscleandstrength.com/workouts/5-fat-loss-workouts-cory-gregory-musclepharm,fully equipped gym,fat loss,split,both,beginner,3
workouts__5-minute-meltdown__f004ca3438.html,"Power Hour: The ""5 Minute Meltdown"" Pump n' Burn Workout",https://www.muscleandstrength.com/workouts/5-minute-meltdown,fully equipped gym,fat loss,full body,both,beginner,3
workouts__5-week-full-body-kettlebell-workout__2b33b33491.html,5 Week Full Body Kettlebell Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/5-week-full-body-kettlebell-workout,home / small gym,fat loss,full body,both,beginner,5
workouts__50-rep-fat-loss-hiit-treadmill-kettlebell-workout__cfacb75dfd.html,50 Rep Fat Loss HIIT Treadmill And Kettlebell Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/50-rep-fat-loss-hiit-treadmill-kettlebell-workout,home / small gym,fat loss,full body,both,beginner,3
workouts__6-week-bodyweight-only-workout__95f67cf51a.html,Body Blaster: Full Body Fat Loss Workout (No Equipment Necessary) | Muscle & Strength,https://www.muscleandstrength.com/workouts/6-week-bodyweight-only-workout,body weight,fat loss,full body,both,beginner,3
workouts__6-week-extreme-fat-loss-workout__bd5c804d5c.html,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,https://www.muscleandstrength.com/workouts/6-week-extreme-fat-loss-workout,home / small gym,fat loss,full body,both,intermediate,3
workouts__6-week-summer-workout-challenge__b9045d0556.html,6 Week Summer Workout Challenge | Muscle & Strength,https://www.muscleandstrength.com/workouts/6-week-summer-workout-challenge,home / small gym,fat loss,split,both,beginner,6
workouts__8-week-body-fat-demolition-workout__cac7404b34.html,Body Fat Demolition: 8 Week Workout to Destroy Body Fat,https://www.muscleandstrength.com/workouts/8-week-body-fat-demolition-workout,fully equipped gym,fat loss,split,both,intermediate,5
workouts__8-week-fat-incinerator-workout__bb250e4d7d.html,The Fat Incinerator: 8 Week Fat Burning Workout,https://www.muscleandstrength.com/workouts/8-week-fat-incinerator-workout,fully equipped gym,fat loss,split,both,intermediate,5
workouts__8-week-fat-loss-program-adults-40__cfd3d9edf5.html,8-Week Fat Loss Program for Adults 40+ | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-fat-loss-program-adults-40,fully equipped gym,fat loss,full body,both,beginner,3
workouts__8-week-hiet-training__5883f1509c.html,Get Ripped in 8 Weeks! HIET Fat Loss Workout & Nutrition Program,https://www.muscleandstrength.com/workouts/8-week-hiet-training,fully equipped gym,fat loss,split,both,intermediate,6
workouts__8-week-spring-shred-program__1f9ac8a46e.html,Spring Shred: 8 Week Fat Loss Workout Plan,https://www.muscleandstrength.com/workouts/8-week-spring-shred-program,fully equipped gym,fat loss,split,both,advanced,5
workouts__8-week-summer-shred__0306069a03.html,Shredded by Summer: 8 Weeks to Your Best Body Ever,https://www.muscleandstrength.com/workouts/8-week-summer-shred,fully equipped gym,fat loss,split,both,intermediate,3
workouts__8-week-womens-beginner-fat-loss-workout__216790d6ad.html,8 Week Beginner Fat Loss Workout for Women | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-womens-beginner-fat-loss-workout,fully equipped gym,fat loss,split,women,beginner,4
workouts__abs-workout-women-8-weeks-flatter-stomach__e7a61ed183.html,Abs Workout For Women: 8 Weeks To A Flatter Stomach | Muscle & Strength,https://www.muscleandstrength.com/workouts/abs-workout-women-8-weeks-flatter-stomach,home / small gym,fat loss,single muscle group,women,beginner,2
workouts__advanced-fat-loss-workout__7f9a73cd01.html,10 Weeks to Shredded: Maximize Your Fat Loss with this Workout,https://www.muscleandstrength.com/workouts/advanced-fat-loss-workout,fully equipped gym,fat loss,split,both,advanced,6
workouts__beat-the-crowded-gym-workout-program__555e41b242.html,Beat the Crowd: 4 Day Workout You Can Do in a Crowded Gym,https://www.muscleandstrength.com/workouts/beat-the-crowded-gym-workout-program,fully equipped gym,fat loss,split,both,intermediate,4
workouts__beginner-fat-loss-workout__c7c3560760.html,8 Week Fat Loss Workout for Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/beginner-fat-loss-workout,fully equipped gym,fat loss,split,both,beginner,4
workouts__best-full-body-workout-routine-for-women__84bd2db6b4.html,The Best Full Body Workout Routine for Women,https://www.muscleandstrength.com/workouts/best-full-body-workout-routine-for-women,fully equipped gym,fat loss,full body,women,beginner,4
workouts__bikini-ready-8-week-womens-workout__5d38297dca.html,Bikini Ready Workout: 8 Week Workout for Women,https://www.muscleandstrength.com/workouts/bikini-ready-8-week-womens-workout,fully equipped gym,fat loss,split,women,beginner,7
workouts__body-fat-blaster-8-week-workout__7a37fbc83c.html,The Body Fat Blaster: 8 Weeks to a Ripped Physique,https://www.muscleandstrength.com/workouts/body-fat-blaster-8-week-workout,fully equipped gym,fat loss,split,both,intermediate,5
workouts__build-own-crossfit-daily-workout__deec919e18.html,Build Your Own Cross Training Daily Workouts | Muscle & Strength,https://www.muscleandstrength.com/workouts/build-own-crossfit-daily-workout,home / small gym,fat loss,full body,both,beginner,3
workouts__calorie-destroyer-12-week-hiit-workout__3f4ef3e6cb.html,The Calorie Destroyer: 12 Week Full Body HIIT Workout and Meal Plan | Muscle & Strength,https://www.muscleandstrength.com/workouts/calorie-destroyer-12-week-hiit-workout,home / small gym,fat loss,full body,both,beginner,3
workouts__cardio-and-weights-workout.html__5798e4a210.html,Cardio And Weights Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/cardio-and-weights-workout.html,home / small gym,fat loss,full body,both,beginner,3
workouts__cardio-conditioning-workouts-fat-burning__d4368bf6f1.html,"Cardio Conditioning Workouts: More Fat Burning, Same Gym Time | Muscle & Strength",https://www.muscleandstrength.com/workouts/cardio-conditioning-workouts-fat-burning,fully equipped gym,fat loss,split,both,intermediate,3
workouts__chadwick-boseman-workout-program__084c170bf1.html,Chadwick Boseman Inspired Workout: Train Like Black Panther,https://www.muscleandstrength.com/workouts/chadwick-boseman-workout-program,home / small gym,fat loss,full body,men,intermediate,5
workouts__charles-glass-beginners-essentials-bodybuilding-workout__30b528f667.html,Charles Glass's Beginner's Essentials Bodybuilding Workout,https://www.muscleandstrength.com/workouts/charles-glass-beginners-essentials-bodybuilding-workout,fully equipped gym,fat loss,split,both,beginner,5
workouts__combo-fat-burner-workout__ea07335979.html,MusclePharm Combo Arm Blasting Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/combo-fat-burner-workout,fully equipped gym,fat loss,split,both,beginner,1
workouts__core-strength-fat-burn-workout__7754cf7984.html,"Core, Strength And Fat Burn Workout | Muscle & Strength",https://www.muscleandstrength.com/workouts/core-strength-fat-burn-workout,home / small gym,fat loss,full body,both,intermediate,6
workouts__density-giant-set-training-maintain-muscle-fat-loss.html__1f6cf4e455.html,Density Giant Set Training: Maintain Muscle During Fat Loss | Muscle & Strength,https://www.muscleandstrength.com/workouts/density-giant-set-training-maintain-muscle-fat-loss.html,home / small gym,fat loss,split,both,intermediate,3
workouts__density-training-fat-loss-cardio__de207f70e8.html,Density Training For Fat Loss: No Cardio Required | Muscle & Strength,https://www.muscleandstrength.com/workouts/density-training-fat-loss-cardio,home / small gym,fat loss,split,both,beginner,4
workouts__dumbbell-bodyweight-hitt-workout-calorie-burner__94198ce228.html,Dumbbell & Bodyweight HIIT Workout: A Real Calorie Burner | Muscle & Strength,https://www.muscleandstrength.com/workouts/dumbbell-bodyweight-hitt-workout-calorie-burner,home / small gym,fat loss,split,both,beginner,3
