filename,title,url,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
workouts__10-minute-home-upper-body-workouts__a1c8bd2e1b.html,Three 10-Minute At Home Upper Body Workouts | Muscle & Strength,https://www.muscleandstrength.com/workouts/10-minute-home-upper-body-workouts,home / small gym,muscle building,split,both,beginner,3
workouts__10-minute-intense-abs-workout__f4fb483b16.html,10 Minute Intense Abs Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/10-minute-intense-abs-workout,home / small gym,muscle building,single muscle group,both,beginner,3
workouts__12-week-beginners-training-routine.html__60253f8d82.html,12 Week Full Body Workout Routine for Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-beginners-training-routine.html,fully equipped gym,muscle building,full body,both,beginner,3
workouts__12-week-build-bigger-bench__b816c959f1.html,12 Weeks To A Bigger Bench Press | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-build-bigger-bench,fully equipped gym,strength,single muscle group,both,beginner,3
workouts__12-week-kettlebell-ab-workout__1247988cfe.html,Kettlebell Ab Workout: 12 Week Progression for Increased Core Strength | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-kettlebell-ab-workout,home / small gym,strength,single muscle group,both,beginner,3
workouts__15-minute-core-conditioning-workout__46ec9adc20.html,15-Minute Core Conditioning Workout You Can Do Anywhere | Muscle & Strength,https://www.muscleandstrength.com/workouts/15-minute-core-conditioning-workout,body weight,general fitness,single muscle group,both,beginner,3
workouts__2-at-home-circuit-workouts-for-women__be6ee9775d.html,Workouts for Women: 2 Bodyweight Circuits You Can Do at Home,https://www.muscleandstrength.com/workouts/2-at-home-circuit-workouts-for-women,body weight,fat loss,full body,both,beginner,3
workouts__2-medicine-ball-full-body-workouts__873e45633a.html,Minimal Equipment Series: 2 Full Body Medicine Ball Workouts,https://www.muscleandstrength.com/workouts/2-medicine-ball-full-body-workouts,home / small gym,muscle building,full body,both,beginner,3
workouts__20-minute-at-home-full-body-workout__1fd139a856.html,20 Minute At Home Full Body Workout Program,https://www.muscleandstrength.com/workouts/20-minute-at-home-full-body-workout,home / small gym,fat loss,full body,both,beginner,3
workouts__27-home-based-ab-workout.html__06f231a1c1.html,Home-Based Ab Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/27-home-based-ab-workout.html,body weight,muscle building,single muscle group,both,beginner,3
workouts__3-ab-workouts-build-8-pack__a3710dcc36.html,8 Pack Abs Workout: How To Get The Ultimate 8 Pack,https://www.muscleandstrength.com/workouts/3-ab-workouts-build-8-pack,home / small gym,general fitness,split,both,beginner,3
workouts__3-day-PPL-workout-for-beginners__e045c5080d.html,3 Day Push/Pull/Legs (PPL) Workout for Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-PPL-workout-for-beginners,fully equipped gym,strength,split,both,beginner,3
workouts__3-day-at-home-womens-workout__a9f165e578.html,3 Day (At Home) Women's Workout Routine,https://www.muscleandstrength.com/workouts/3-day-at-home-womens-workout,home / small gym,fat loss,full body,women,beginner,3
workouts__3-day-dumbbell-only-workout-for-women__a3425ea293.html,3 Day Full Body Women's Dumbbell Only Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-dumbbell-only-workout-for-women,home / small gym,muscle building,full body,women,beginner,3
workouts__3-day-full-body-dumbbell-workout__13d5fcc8fb.html,Dumbbell Only Workout: 3 Day Full Body Dumbbell Workout,https://www.muscleandstrength.com/workouts/3-day-full-body-dumbbell-workout,home / small gym,muscle building,full body,both,beginner,3
workouts__3-day-full-body-kettlebell-workout__8f50c0fafe.html,3 Day Full Body Beginner Kettlebell Workout,https://www.muscleandstrength.com/workouts/3-day-full-body-kettlebell-workout,home / small gym,muscle building,full body,both,beginner,3
workouts__3-day-full-body-workout-for-busy-people__a8b25486af.html,3 Day Full Body Workout for Busy People,https://www.muscleandstrength.com/workouts/3-day-full-body-workout-for-busy-people,home / small gym,muscle building,full body,both,beginner,3
workouts__3-day-full-body-workout-for-tall-girls__5e3e211413.html,3 Day Full Body Workout for Tall Women,https://www.muscleandstrength.com/workouts/3-day-full-body-workout-for-tall-girls,fully equipped gym,muscle building,full body,women,beginner,3
workouts__3-day-fullbody-workout-alternative-tools.html__b033cbacbc.html,3 Day Fullbody Workout Using Alternative Tools | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-fullbody-workout-alternative-tools.html,home / small gym,muscle building,full body,both,beginner,3
workouts__3-day-kettlebell-bodyweight__28f26715f8.html,3 Day Kettlebell and Bodyweight Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-kettlebell-bodyweight,home / small gym,fat loss,split,both,beginner,3
workouts__3-day-power-muscle-burn__53df2f3611.html,3 Day Power Muscle Burn Workout Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-power-muscle-burn,fully equipped gym,muscle building,split,both,intermediate,3
workouts__3-day-total-body-sculpting-workout__161880a479.html,3 Day Total Body Sculpting Circuit Workout Routine,https://www.muscleandstrength.com/workouts/3-day-total-body-sculpting-workout,home / small gym,fat loss,full body,both,beginner,3
workouts__3-day-whole-body-toning-workout.html__bd2847b58b.html,3 Day Full Body Toning Workout for Women | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-whole-body-toning-workout.html,fully equipped gym,muscle building,full body,both,intermediate,3
workouts__3-day-workout-routine-and-diet-for-beginners__1b4c09609d.html,3 Day Workout Routine and Diet for Beginners,https://www.muscleandstrength.com/workouts/3-day-workout-routine-and-diet-for-beginners,fully equipped gym,muscle building,full body,both,beginner,3
