filename,title,url,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
content__8-week-muscle-building-program-adults-40__4677fe1145.html,8-Week Muscle Building Program for Adults 40+ | Muscle & Strength,https://www.muscleandstrength.com/content/8-week-muscle-building-program-adults-40,fully equipped gym,muscle building,split,both,beginner,4
workouts__10-week-fat-torcher__f17e5017fc.html,10 Week Fat Torcher: Fat Burning Program,https://www.muscleandstrength.com/workouts/10-week-fat-torcher,fully equipped gym,fat loss,split,both,intermediate,7
workouts__10-week-mass-building-program.html__804e618824.html,10 Week Mass Building Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/10-week-mass-building-program.html,fully equipped gym,muscle building,split,men,advanced,4
workouts__10-week-upper-lower-workout-for-women__c6b7a6a89a.html,10 Week Upper/Lower Workout Program for Women,https://www.muscleandstrength.com/workouts/10-week-upper-lower-workout-for-women,fully equipped gym,muscle building,split,women,intermediate,4
workouts__12-week-ab-workout-for-ab-definition-and-core-strength__964610fa71.html,12 Week Ab Workout for Ab Definition & Core Strength,https://www.muscleandstrength.com/workouts/12-week-ab-workout-for-ab-definition-and-core-strength,fully equipped gym,muscle building,single muscle group,both,intermediate,4
workouts__12-week-beginners-training-routine.html__60253f8d82.html,12 Week Full Body Workout Routine for Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-beginners-training-routine.html,fully equipped gym,muscle building,full body,both,beginner,3
workouts__12-week-build-bigger-bench__b816c959f1.html,12 Weeks To A Bigger Bench Press | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-build-bigger-bench,fully equipped gym,strength,single muscle group,both,beginner,3
workouts__12-week-fat-annihilation-workout__65f5d61841.html,12 Week Total Fat Annihilation Workout Plan,https://www.muscleandstrength.com/workouts/12-week-fat-annihilation-workout,fully equipped gym,fat loss,split,both,advanced,4
workouts__12-week-fat-destroyer__7559ccac0a.html,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-fat-destroyer,fully equipped gym,fat loss,full body,both,beginner,4
workouts__12-week-off-season-classic-bodybuilding-workout__c305effa26.html,12 Week Off-Season Classic Physique Bodybuilding Workout,https://www.muscleandstrength.com/workouts/12-week-off-season-classic-bodybuilding-workout,fully equipped gym,muscle building,split,men,intermediate,5
workouts__12-week-push-pull-legs-for-women__d4f0af9f23.html,"12 Week Push, Pull, Legs Workout for Women",https://www.muscleandstrength.com/workouts/12-week-push-pull-legs-for-women,fully equipped gym,muscle building,split,women,intermediate,6
workouts__12-week-total-transformation-workout__1b2696ee40.html,Body Metamorphosis: 12 Week Transformation Workout to Help You Build Muscle,https://www.muscleandstrength.com/workouts/12-week-total-transformation-workout,fully equipped gym,muscle building,split,both,beginner,4
workouts__12-week-womens-bikini-prep-workout__c71e03881f.html,12 Week Women's Bikini Prep Workout Program,https://www.muscleandstrength.com/workouts/12-week-womens-bikini-prep-workout,fully equipped gym,fat loss,split,women,intermediate,5
workouts__18-week-bench-press-peaking-cycle__b7d7c797e1.html,18 Week Bench Press Peaking Cycle | Muscle & Strength,https://www.muscleandstrength.com/workouts/18-week-bench-press-peaking-cycle,fully equipped gym,strength,single muscle group,both,intermediate,1
workouts__19-muscle-size--shape-definition-workout.html__0943e3b573.html,"Muscle Size, Shape & Definition Workout | Muscle & Strength",https://www.muscleandstrength.com/workouts/19-muscle-size--shape-definition-workout.html,fully equipped gym,muscle building,split,both,advanced,5
workouts__2-day-intense-workout.html__beeb7dd88f.html,2 Day Intense Fat Loss & Muscle Tone Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/2-day-intense-workout.html,fully equipped gym,fat loss,full body,both,intermediate,2
workouts__2-week-deload-program__baa27dd5d9.html,2-Week Deload Workout Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/2-week-deload-program,fully equipped gym,general fitness,split,both,beginner,4
workouts__2-weekly-workouts-for-larger-legs__f69e6a19e7.html,2 Weekly Workouts for Larger Legs,https://www.muscleandstrength.com/workouts/2-weekly-workouts-for-larger-legs,fully equipped gym,muscle building,single muscle group,both,intermediate,2
workouts__2-workouts-to-help-grow-your-back__41ecb42ce2.html,2 Workouts To Help Grow Your Back in 8 Weeks,https://www.muscleandstrength.com/workouts/2-workouts-to-help-grow-your-back,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__20-6-day-weight-cardio-cutting-workout.html__05afe37b08.html,Fat Blaster: 6 Day Weight/Cardio Cutting Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/20-6-day-weight-cardio-cutting-workout.html,fully equipped gym,fat loss,split,both,intermediate,6
